ID;journal;publ_yr;year;volume;start_page;end_page;article_group;included_in_analysis;exclusion_criteria;multi_sample_number_of;N_for_analysis;study_design;study_design_red;online_sample;student_sample;supplemental_files
77;PAID;1981;2;2;91;97;PAID (included);1;NA;13;14;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;14;101;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;15;84;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;16;66;correlational;correlational;0;0;0
78;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
79;PAID;1981;2;2;105;107;PAID (included);1;NA;1;26;correlational;correlational;0;1;0
80;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
81;PAID;1981;2;2;113;117;PAID (included);1;NA;1;644;correlational;correlational;0;0;0
82;PAID;1981;2;2;119;123;PAID (included);1;NA;1;33;correlational;correlational;0;0;0
83;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
84;PAID;1981;2;2;129;136;PAID (included);1;NA;1;40;quasi-experimental (between-design);quasi-experimental;0;0;0
85;PAID;1981;2;2;137;143;PAID (included);0;review;1;NA;NA;NA;NA;NA;NA
86;PAID;1981;2;2;145;152;PAID (included);1;NA;1;101;correlational;correlational;0;0;0
87;PAID;1981;2;2;153;166;PAID (included);1;NA;1;50;correlational;correlational;0;0;0
87;PAID;1981;2;2;153;166;PAID (included);1;NA;2;126;quasi-experimental (between-design);quasi-experimental;0;0;0
88;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
89;PAID;1981;2;2;168;169;PAID (included);1;NA;1;10737;quasi-experimental (between-design);quasi-experimental;0;0;0
90;PAID;1981;2;2;169;170;PAID (included);1;NA;1;295;quasi-experimental (between-design);quasi-experimental;0;0;0
91;PAID;1981;2;2;171;171;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
92;PAID;1981;2;2;173;173;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
93;PAID;1981;2;2;173;174;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
94;PAID;1981;2;2;175;180;PAID (included);1;NA;1;570;quasi-experimental (between-design);quasi-experimental;0;0;0
95;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
96;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
97;PAID;1981;2;2;197;205;PAID (included);1;NA;1;30;correlational;correlational;0;1;0
98;PAID;1981;2;2;207;213;PAID (included);1;NA;1;22;quasi-experimental (between-design);quasi-experimental;0;0;0
99;PAID;1981;2;2;215;220;PAID (included);1;NA;1;19;quasi-experimental (between-design);quasi-experimental;0;0;0
100;PAID;1981;2;2;221;234;PAID (included);1;NA;1;296;correlational;correlational;0;0;0
101;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
102;PAID;1981;2;2;243;245;PAID (included);1;NA;1;100;quasi-experimental (between-design);quasi-experimental;0;1;0
103;PAID;1981;2;2;245;246;PAID (included);1;NA;1;60;quasi-experimental (between-design);quasi-experimental;0;0;0
104;PAID;1981;2;2;247;248;PAID (included);1;NA;1;120;correlational;correlational;0;0;0
